15/07/1996,England,Barton,54.583333,-2.833333,Unknown,A silver shaped object went down out of sight and what came into vision a second later was two orange light/objects flying skywards.
18/07/1996,England,New Leake,53.094602,0.093943,Triangle,IT was Clearly  A Spacecraft of somesort&#44 It was completely black and  it let off a green shockwave before every rapid burst of speed.
08/08/1996,England,Cranham,51.833333,-2.166667,Sphere,It shifted&#44 and no known aircarft to do does turns&#44 without braking to peaces.
16/08/1996,Scotland,Aberdeenshire,57.166667,-2.666667,Light,I was out with friends&#44 we saw what we thought were shooting stars&#44 we were wrong.
20/08/1996,England,,51.583333,0.2,Disk,Disc shaped green ufo.
16/09/1996,England,Manchester,53.5,-2.216667,Diamond,Riding Metro-Link Tram from Manchester to Altrincham(UK). Glanced up&#44 don&#39t know why&#44 and glimpsed large Metallic Diamond shape gliding
21/09/1996,England,Norwich,52.633333,1.3,Triangle,It was very simular to the one on your sight which was seen in Kirkland.  It was a clear night with plenty of stars about&#44 and i wa
25/09/1996,England,Oxford,51.75,-1.25,Unknown,Scanned by something
15/11/1996,England,Thornton,53.873712,-3.021371,Triangle,MANY BLACK TRIANGLE SIGHTINGS NOV 1996 AND FLASHES OF BRIGHT WHITE OR BLUE LIGHTS AT SAME TIME&#44LIGHTING UP ROOMS OR THE SKY.CREDIBLE AC
20/11/1996,England,Heswall,53.333333,-3.083333,Triangle,three lights in formation.
25/12/1996,England,City of London,51.514125,-0.093689,Light,Three round white lights fixed in triangle shape over London&#44 UK night sky on 12.25.96 converged into one.
08/01/1997,England,Manchester,53.5,-2.216667,Triangle,rotating triangle of light
08/01/1997,England,Worsley,53.50754,-2.391199,Teardrop,Tear drop shape&#44 emitting dull gold glow at around 7000 feet. Moving at same speed as airliners in landing pattern in same vicinity.
01/02/1997,England,Sunderland,54.911944,-1.383333,Light,Two lights seen in Sunderland
26/02/1997,England,City of London,51.514125,-0.093689,Light,A LIGHT FOLLOWED AN AEROPLANE AND THEN THEY BOTH VANISHED.I WAS GOING DOWN THE M25.(A MOTORWAY GOING AROUND LONDON) WITH MY DAD.  I
01/03/1997,England,Lockerley,51.038201,-1.582512,Triangle,Bright white isoseles triangle shape seen darting about in the sky&#44 twice.
12/03/1997,England,Sunderland,54.911944,-1.383333,Sphere,Two objects doing imposible manovers
17/03/1997,England,Marske-by-the-Sea,54.591928,-1.019708,Sphere,a glowing orb close up
20/04/1997,England,Bissom,50.166667,-5.1,Sphere,Mir incident
23/04/1997,England,Norwich,52.633333,1.3,Light,Bright light floating in sky for 2minutes then slowly moved off and suddenly accelerated out of sight.
01/05/1997,England,Torquay,50.45,-3.5,Circle,UFO in Torquay in the UK.
15/05/1997,England,Bedford,52.133333,-0.45,Triangle,Triangular object over field in England on sunny day&#44 1997
01/06/1997,Wales,Cardiff,51.5,-3.2,Triangle,large triangular object no sound at all
01/06/1997,England,Liverpool,53.416667,-3,Oval,England: Liverpool. 7.6.1997.  13:00 pm.  Oval shaped black object spotted.  Flipping over on itself.  Absolutely amazed.
01/06/1997,England,Liverpool,53.416667,-3,Disk,My name is Wayne.  I am 43 years of age.  This event took place in 1997.  It has haunted me ever since.  My son was 9 years of age at t
01/06/1997,England,The Image,51.75,-0.466667,Sphere,I was out in my garden looking to see if I could see the comet Hail Bop&#44&#44it was nice and ark&#44&#44I could see aircraft heading in and out o
06/06/1997,England,Sunderland,54.911944,-1.383333,Circle,A silent orange ball (not the sun&#33) hovering&#44 then rising in the air repeatedly&#44 then changing colour to silver and shooting of through
06/06/1997,Wales,Swansea,51.633333,-3.966667,Triangle,2am saw lights through tent &#44 was very low to us&#44had no sound and was triange and also was very slow passing over us.
12/06/1997,England,Kingsley,53.27774,-2.664218,Light,Saw light in night sky&#44 quite close 150m&#44 no sound&#44 no movement&#44 5 mins plus&#44 unpopulated area&#44 white light&#44 uk.
15/06/1997,England,Morecambe,54.066667,-2.833333,Oval,a dark oval shaped object that made no sound that travelled at very very high speeds
21/06/1997,England,City of London,51.514125,-0.093689,Light,On leaving a restaurant awiating a Taxis&#44 We looked at the sky.It was a Full Moon that night&#44 We saw several spherical lights some of w
29/06/1997,Northern Ireland,Ballymoney,55.064948,-6.498239,Unknown,glowing object moving east - west and upwad at high speed. no disernable shape it must have been about 20000 feet up it seemed to move
13/07/1997,England,North Lincolnshire,53.716667,-0.333333,Sphere,A RED BALL SHAPE&#44WITH BLUE HALO SURROUNDING IT. IN THE MIDDLE IT WAS A BRIGHT METALLIC PINK COLOUR. THERE WAS SEVERAL FLASHING BLUE AND
13/07/1997,England,Coalbrookdale,52.633333,-2.5,Oval,20 min. video footage of ufo  recorded in England 1997.
15/07/1997,England,Sleaford,53.000308,-0.40965,Light,faint orange lights high in sky moving rapidly at high altitude
17/07/1997,England,Leeds,53.8,-1.583333,Sphere,A sighting of a matt black spherical UFO in the skies of Leeds &#44UK after a plane journey to Paris&#44France .
18/07/1997,England,Wolverhampton,52.583333,-2.133333,Diamond,close sighting&#44 diamond silver ufo
21/07/1997,England,City of London,51.514125,-0.093689,Fireball,Very high up&#44 and shot across the sky&#44 performing and small zig-zag then shooting off
30/07/1997,England,Felpham,50.783333,-0.65,Circle,3 Blurred Circles.
01/08/1997,England,Tone Green,51,-3.183333,Sphere,Metallic baseball sized spere seen in Bradford Yorkshire England
03/08/1997,Scotland,East Ayrshire,55.583333,-4.283333,Disk,saucer shaped object with point seen above Darvel at time of Halle Bop
08/08/1997,England,Pamber Green,51.333333,-1.116667,Circle,cluster of ufo&#39s over Hampshire&#44 England
19/08/1997,England,Hilcote,53.108169,-1.340708,Changing,NOTICED ODD CLOUD SAW BRIGHT LIGHT MOVING LEFT TO RIGHT AND BACK. SOMETHING DROPPED OUT OF BASE SHIFTED OVERHEAD OF US. SHAPE OF CANDLE
19/08/1997,England,City of London,51.514125,-0.093689,Circle,small circular flashing object emiting different colours&#44 seemingly shaking&#44 plus another circular object separating and parallel to&#44 o
12/10/1997,England,Poole,50.716667,-2,Other,UFO Sighted in Poole&#44 Dorset England
15/10/1997,Scotland,Fort William,56.819817,-5.105218,Unknown,UFO exploded in the West Highlands of Scotland..
20/10/1997,England,Humberston Grange,53.533333,-0.05,Egg,Bright green egg shaped object hovering for some time then shot off in a nothern direction very fast
27/10/1997,England,Stoke,53,-2.183333,Cylinder,TRANSLUCENT (V) FORMATION  OBJECTS AT CLOSE QUARTERS 1997
15/11/1997,England,Northampton,52.25,-0.883333,Unknown,WINTER  97/98 BRIGHT LIGHT TRAVELLING AT HIGH SPEED IN DIFFERENT DIRECTIONS TOWARDS THE EAST LASTED ABOUT 5 SECONDS.
06/12/1997,England,Birkenhead,53.4,-3.033333,Other,Hello. First may I say I had great dificulty in trying to register my details&#44 I hope soon you will open a website that will encom
10/12/1997,England,Caldmore,52.586214,-1.982919,Unknown,I saw two circluar lights attached to a dark shape&#44 which moved silently and quickly and disappeared.
24/12/1997,England,Long Buckby Wharf,52.3,-1.116667,Circle,Dim&#44 orange&#44 circular object (centre of disk brighter than outside edge)&#44 travelling from NE across sky to SW&#44 changing direction by ap
08/01/1998,England,Poole,50.71505,-1.987248,Fireball,Sighting of strange orange light (ball of fire?) in Poole Dorset 1998
